name,score,genres,type,episodes,premiered,producers,licensors,studios,source,rating,popularity,favorites
Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94,Winter 1996,"Aniplex, SME Visual Works, Fuji TV",Media Blasters,"Gallop, Studio Deen",Manga,PG-13 - Teens 13 or older,345,11236
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Movie,1,unknown,"Fuji TV, Sony Music Entertainment","ADV Films, Aniplex of America",Gallop,Manga,R - 17+ (violence & profanity),2411,107
Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,1,unknown,"Mainichi Broadcasting System, Kodansha, Toho","Funimation, Bandai Entertainment, Geneon Entertainment USA",Tokyo Movie Shinsha,Manga,R+ - Mild Nudity,197,9555
.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,26,Spring 2002,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2","Funimation, Bandai Entertainment",Bee Train,Original,PG-13 - Teens 13 or older,940,1359
Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,5,unknown,"Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AnimEigo,AIC,Manga,PG-13 - Teens 13 or older,2360,267
Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",TV,24,Winter 2005,"Bandai Visual, TBS, Imagine","Media Blasters, NYAV Post",AIC,Manga,PG-13 - Teens 13 or older,1083,1124
Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",OVA,3,unknown,"Bandai Visual, AIC, Lantis, Audio Tanaka",Media Blasters,Hal Film Maker,Manga,R+ - Mild Nudity,2419,215
Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,26,Spring 2001,TV Tokyo Music,"ADV Films, Sentai Filmworks",Bones,Manga,PG-13 - Teens 13 or older,2232,290
Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24,Spring 2002,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray","Funimation, Geneon Entertainment USA",J.C.Staff,Manga,PG-13 - Teens 13 or older,1465,458
Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,1,unknown,"Mainichi Broadcasting System, Toho, TYO Animations, TYO","Sentai Filmworks, Geneon Entertainment USA",Digital Frontier,Manga,R - 17+ (violence & profanity),1901,173
Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26,Spring 1999,"Sony Pictures Entertainment, Aniplex",ADV Films,Bee Train,Game,R - 17+ (violence & profanity),4259,17
Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",TV,13,Fall 2003,Production I.G,Bandai Entertainment,"Bee Train, Xebec",Original,R - 17+ (violence & profanity),4073,21
Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,Fall 2004,"Marvelous, Starchild Records, Asatsu DK, Kodansha",Funimation,Madhouse,Manga,R - 17+ (violence & profanity),570,7038
Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,26,Fall 1999,"Youmex, Toshiba EMI",Funimation,AIC,Original,R+ - Mild Nudity,1886,389
Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,26,Spring 2002,"TBS, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Manga,PG-13 - Teens 13 or older,332,3859
D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,26,Spring 2003,Kadokawa Shoten,"ADV Films, Discotek Media",Xebec,Manga,PG-13 - Teens 13 or older,891,1523
D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",TV,26,Summer 2003,"Lantis, King Records",unknown,"feel., Zexcs",Visual novel,PG-13 - Teens 13 or older,1852,189
DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,12,Summer 2004,"Bandai Visual, Hal Film Maker, Genco, Lantis","Discotek Media, Geneon Entertainment USA",Daume,Manga,R+ - Mild Nudity,1146,391
Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",TV,12,Fall 2004,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,PG-13 - Teens 13 or older,846,2074
Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",TV,12,Fall 2005,"Mellow Head, TBS","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,PG-13 - Teens 13 or older,1479,516
Azumanga Daioh,7.98,"Slice of Life, Comedy, School",TV,26,Spring 2002,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records","ADV Films, Sentai Filmworks",J.C.Staff,4-koma manga,PG-13 - Teens 13 or older,554,5181
Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,24,Spring 2005,"GDH, Kodansha, Sotsu Music Publishing",Funimation,Gonzo,Manga,R - 17+ (violence & profanity),940,1467
Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,23,Fall 2005,"GDH, Dentsu, TBS, Sotsu Music Publishing",Funimation,Gonzo,Manga,PG-13 - Teens 13 or older,622,1955
Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",TV,25,Fall 2005,"Bandai Visual, Imagine",Sentai Filmworks,Sunrise,Original,PG-13 - Teens 13 or older,5061,13
Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",TV,24,Winter 2002,Kadokawa Shoten,"ADV Films, Funimation",Gonzo,Light novel,R - 17+ (violence & profanity),322,4417
Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",TV,12,Summer 2003,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do","ADV Films, Funimation",Kyoto Animation,Light novel,PG-13 - Teens 13 or older,571,2988
Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",TV,13,Summer 2005,"Kadokawa Shoten, Happinet Pictures","ADV Films, Funimation, Kadokawa Pictures USA",Kyoto Animation,Light novel,R - 17+ (violence & profanity),639,1358
Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",TV,26,Fall 2004,"Aniplex, Sogo Vision",Nozomi Entertainment,Group TAC,Manga,G - All Ages,1640,1613
Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",TV,25,Summer 2004,"TV Tokyo Music, King Records","Funimation, Geneon Entertainment USA",Xebec,Original,PG-13 - Teens 13 or older,2523,255
Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",TV,13,Fall 2004,"Starchild Records, Omnibus Japan",Geneon Entertainment USA,Seven Arcs,Original,PG-13 - Teens 13 or older,1550,1036
Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",TV,13,Fall 2005,"Starchild Records, Omnibus Japan",Geneon Entertainment USA,Seven Arcs,Original,PG-13 - Teens 13 or older,2075,1014
Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,24,Summer 2005,"Xebec, Lantis, Memory-Tech",Funimation,Asread,Visual novel,R+ - Mild Nudity,600,1572
Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",TV,43,Spring 1979,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,PG-13 - Teens 13 or older,1427,1787
Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,12,unknown,Atelier Musa,Bandai Entertainment,Sunrise,Original,PG-13 - Teens 13 or older,1948,911
Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",OVA,6,unknown,Bandai Visual,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,PG-13 - Teens 13 or older,2444,717
Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",Movie,1,unknown,"Sotsu, Atelier Musa",Bandai Entertainment,Sunrise,Original,PG-13 - Teens 13 or older,4660,3
Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,13,unknown,Bandai Visual,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,PG-13 - Teens 13 or older,2791,230
Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,50,Spring 1985,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,PG-13 - Teens 13 or older,2159,1721
Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,47,Spring 1986,"Sotsu, Nagoya Broadcasting Network",Nozomi Entertainment,Sunrise,Original,PG-13 - Teens 13 or older,2941,130
Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",Movie,1,unknown,"Sotsu, Nozomi Entertainment, Atelier Musa",Bandai Entertainment,"Sunrise, Studio Hibari",Novel,PG-13 - Teens 13 or older,2773,293
Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",Movie,1,unknown,"Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,unknown,PG-13 - Teens 13 or older,3387,63
Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",TV,51,Spring 1993,"TV Asahi, Sotsu, Apollon",Nozomi Entertainment,"Sunrise, Studio Deen",Original,PG-13 - Teens 13 or older,3588,95
Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,49,Spring 1995,TV Asahi,Bandai Entertainment,Sunrise,Original,PG-13 - Teens 13 or older,1118,2538
Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,3,unknown,"Bandai Visual, Sotsu",Bandai Entertainment,Sunrise,Original,PG-13 - Teens 13 or older,2512,221
After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,39,Spring 1996,"TV Asahi, Sotsu",Nozomi Entertainment,Sunrise,Original,PG-13 - Teens 13 or older,3043,189
Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,Fall 2002,"Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa","Bandai Entertainment, NYAV Post",Sunrise,Original,R - 17+ (violence & profanity),1057,3584
Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,Fall 2004,"Sotsu, Mainichi Broadcasting System, Sony Music Entertainment","Bandai Entertainment, NYAV Post",Sunrise,Original,R - 17+ (violence & profanity),1530,1206
Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",TV,50,Spring 1999,"Sotsu, Fuji TV",Nozomi Entertainment,"Sunrise, Nakamura Production",Original,PG-13 - Teens 13 or older,2714,760
Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,49,Spring 1994,"TV Asahi, Sotsu",Bandai Entertainment,Sunrise,Original,PG-13 - Teens 13 or older,2109,896
Last Exile,7.82,"Action, Sci-Fi, Adventure",TV,26,Spring 2003,"GDH, Victor Entertainment, TV Tokyo Music","Funimation, Geneon Entertainment USA",Gonzo,Original,PG-13 - Teens 13 or older,995,1848
Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,26,Fall 2004,"Bandai Visual, TV Tokyo Music, Studio Zain","Funimation, Bandai Entertainment",Sunrise,Original,PG-13 - Teens 13 or older,1381,1262
Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",TV,26,Fall 2005,"Bandai Visual, Lantis, TV Tokyo Music","Funimation, Bandai Entertainment",Sunrise,Original,PG-13 - Teens 13 or older,2370,333
Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,13,Spring 2001,"Kadokawa Shoten, Rondo Robe","ADV Films, Funimation",Hal Film Maker,Manga,PG-13 - Teens 13 or older,2162,457
Air,7.32,"Slice of Life, Supernatural, Drama, Romance",TV,12,Winter 2005,"Pony Canyon, TBS, Movic","ADV Films, Funimation",Kyoto Animation,Visual novel,PG-13 - Teens 13 or older,563,2704
Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",TV,26,Spring 2004,"Animax, Toei Video, Sunny Side Up",unknown,TMS Entertainment,Manga,PG-13 - Teens 13 or older,1529,571
Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",TV,74,Winter 1994,"Nihon Ad Systems, Shueisha",unknown,Gallop,Manga,G - All Ages,4551,88
Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",TV,24,Spring 2000,Bandai Visual,"VIZ Media, Discotek Media",Studio Pierrot,Manga,R - 17+ (violence & profanity),2182,535
Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",TV,13,Spring 2000,unknown,Nozomi Entertainment,Hal Film Maker,Manga,PG-13 - Teens 13 or older,3665,41
Hana yori Dango,7.7,"Drama, Romance, School, Shoujo",TV,51,Fall 1996,unknown,"VIZ Media, Discotek Media",Toei Animation,Manga,PG-13 - Teens 13 or older,2293,762
Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",TV,13,Spring 2002,Aniplex,ADV Films,Studio Deen,Manga,PG-13 - Teens 13 or older,2817,210
Ou Dorobou Jing in Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",OVA,3,unknown,Aniplex,"ADV Films, Funimation",Studio Deen,Manga,PG-13 - Teens 13 or older,4619,29
Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",TV,24,Spring 2004,"GDH, TV Asahi, Imagica",Funimation,Gonzo,Original,PG-13 - Teens 13 or older,1965,257
Chuuka Ichiban!,7.63,"Action, Comedy, Drama, Shounen",TV,52,Spring 1997,unknown,unknown,Nippon Animation,Manga,PG-13 - Teens 13 or older,4086,107
Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",TV,52,Spring 1999,"NHK, Studio Tron",VIZ Media,Nippon Animation,Original,PG - Children,4519,50
Chou Henshin Cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",TV,8,Winter 2004,m.o.e.,unknown,"Imagin, Studio Live",Original,PG-13 - Teens 13 or older,5542,5
Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",TV,26,Spring 2003,"Starchild Records, TV Tokyo Music","Discotek Media, Geneon Entertainment USA",Xebec,Original,PG-13 - Teens 13 or older,3577,127
Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen",TV,26,Fall 2003,TV Tokyo Music,"ADV Films, Sentai Filmworks, Discotek Media",Production I.G,Manga,PG-13 - Teens 13 or older,1279,1561
El Hazard: The Alternative World,6.83,"Adventure, Comedy, Fantasy",TV,13,Winter 1998,Pioneer LDC,Geneon Entertainment USA,AIC,Original,PG-13 - Teens 13 or older,4961,10
El Hazard: The Wanderers,6.97,"Adventure, Comedy, Romance, Fantasy",TV,26,Fall 1995,"TV Tokyo, Geneon Universal Entertainment, SoftX, Pioneer LDC, TV Tokyo Music, Atelier Musa","Nozomi Entertainment, Geneon Entertainment USA",AIC,Original,PG-13 - Teens 13 or older,4198,35
El Hazard: The Magnificent World,7.32,"Adventure, Comedy, Romance, Fantasy",OVA,7,unknown,Pioneer LDC,"Nozomi Entertainment, Geneon Entertainment USA",AIC,Original,PG-13 - Teens 13 or older,4129,91
El Hazard 2: The Magnificent World,6.85,"Adventure, Comedy, Fantasy",OVA,4,unknown,Pioneer LDC,Geneon Entertainment USA,AIC,Original,PG-13 - Teens 13 or older,5421,5
Final Approach,6.56,"Comedy, Drama, Romance, Slice of Life",TV,13,Fall 2004,Trinet Entertainment,unknown,Zexcs,Visual novel,PG-13 - Teens 13 or older,2887,48
Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,26,Summer 2001,"TV Tokyo, Nihon Ad Systems, King Records",Funimation,Studio Deen,Manga,PG-13 - Teens 13 or older,314,9504
Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,Fall 2003,"Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System","Funimation, Aniplex of America",Bones,Manga,PG-13 - Teens 13 or older,52,26564
Full Moon wo Sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,52,Spring 2002,Nihon Ad Systems,VIZ Media,Studio Deen,Manga,PG-13 - Teens 13 or older,1519,1823
Fushigi Yuugi,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",TV,52,Spring 1995,"TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising, Apollon","Media Blasters, Geneon Entertainment USA",Studio Pierrot,Manga,PG-13 - Teens 13 or older,1434,2277
Fushigi Yuugi: Eikouden,6.86,"Adventure, Fantasy, Romance, Drama, Shoujo",OVA,4,unknown,unknown,"Media Blasters, Geneon Entertainment USA",Studio Pierrot,Manga,PG-13 - Teens 13 or older,4101,69
Futakoi,6.49,"Comedy, Romance, School",TV,13,Fall 2004,Lantis,unknown,Telecom Animation Film,Original,PG-13 - Teens 13 or older,2900,22
Futakoi Alternative,6.91,"Comedy, Drama, Romance",TV,13,Spring 2005,Lantis,unknown,"ufotable, feel., Studio Flag",Original,PG-13 - Teens 13 or older,3071,71
Gate Keepers,6.96,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",TV,24,Spring 2000,Media Factory,Geneon Entertainment USA,Gonzo,Game,PG-13 - Teens 13 or older,3717,59
Gate Keepers 21,6.79,"Action, Drama, Mecha, Sci-Fi, Shounen",OVA,6,unknown,unknown,Geneon Entertainment USA,Gonzo,Game,PG-13 - Teens 13 or older,5026,23
Gensoumaden Saiyuuki,7.59,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",TV,50,Spring 2000,"TV Tokyo, Dentsu, Group TAC",ADV Films,Studio Pierrot,Manga,R - 17+ (violence & profanity),2359,833
Saiyuuki Reload,7.41,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,25,Fall 2003,unknown,Geneon Entertainment USA,Studio Pierrot,Manga,PG-13 - Teens 13 or older,3071,116
Saiyuuki Reload Gunlock,7.42,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,26,Spring 2004,unknown,Geneon Entertainment USA,Studio Pierrot,Manga,PG-13 - Teens 13 or older,3724,51
GetBackers,7.61,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,49,Fall 2002,"TBS, Kodansha, Rondo Robe, Rakuonsha","ADV Films, Sentai Filmworks",Studio Deen,Manga,PG-13 - Teens 13 or older,1339,911
Green Green,6.21,"Comedy, Ecchi, Romance, School, Slice of Life",TV,12,Summer 2003,"Pony Canyon, Memory-Tech, Studio Jack",Media Blasters,Studio Matrix,Visual novel,R+ - Mild Nudity,1333,263
Gunslinger Girl,7.42,"Action, Psychological, Military, Drama, Sci-Fi",TV,13,Fall 2003,"Marvelous, Fuji TV",Funimation,Madhouse,Manga,R - 17+ (violence & profanity),920,1140
Hikaru no Go,8.11,"Comedy, Game, Shounen, Supernatural",TV,75,Fall 2001,"TV Tokyo, Dentsu, Dream Force",VIZ Media,Studio Pierrot,Manga,PG-13 - Teens 13 or older,1287,2186
Hunter x Hunter,8.42,"Action, Adventure, Super Power, Fantasy, Shounen",TV,62,Fall 1999,Fuji TV,VIZ Media,Nippon Animation,Manga,PG-13 - Teens 13 or older,319,9525
Hunter x Hunter: Original Video Animation,8.33,"Action, Adventure, Super Power, Shounen",OVA,8,unknown,unknown,unknown,Nippon Animation,Manga,PG-13 - Teens 13 or older,1375,408
Hunter x Hunter: Greed Island,8.21,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,8,unknown,unknown,unknown,Nippon Animation,Manga,PG-13 - Teens 13 or older,1244,318
Hunter x Hunter: Greed Island Final,8.29,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,14,unknown,unknown,unknown,Nippon Animation,Manga,PG-13 - Teens 13 or older,1288,268
Jinki:Extend,6.14,"Mecha, Sci-Fi",TV,12,Winter 2005,"TV Asahi, GANSIS","ADV Films, Funimation",feel.,Manga,R - 17+ (violence & profanity),4923,10
Kamikaze Kaitou Jeanne,7.45,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",TV,44,Winter 1999,unknown,unknown,Toei Animation,Manga,PG-13 - Teens 13 or older,2363,499
